time,headline,indico_score
2014-02-24T11:38:18Z,Facebook Stock Not So Different Than Bitcoin,0.37671980512618236
2014-02-25T00:00:00Z,Apparent Theft at Mt. Gox Shakes Bitcoin World,0.4077369709013076
2014-02-25T00:37:27Z,Bitcoin Exchange Mt. Gox Goes Dark in Blow to Virtual Currency,0.5575447973816097
2014-02-25T01:42:51Z,Major Bitcoin Exchange Said to Be Insolvent,0.3918167380234179
2014-02-25T06:56:34Z,Daily Report: Bitcoin World Is Shaken by Apparent Theft at Exchange,0.45972796352383605
2014-02-25T08:31:44Z,Protests after bitcoin exchange disappears,0.439658222513397
2014-02-25T08:51:44Z,Protests after bitcoin exchange disappears,0.439658222513397
2014-02-25T11:06:46Z,"Defending Bitcoin, Andreessen Says Mt. Gox Is 'Like MF Global'",0.415525617345939
2014-02-25T11:59:45Z,What's a Bitcoin? A Look at the Digital Currency,0.4623275042026332
2014-02-25T12:40:57Z,No Bailout for Bitcoin Holders,0.44554478995492
2014-02-25T15:52:06Z,SecondMarket Plans Regulated Bitcoin Exchange,0.5684503326641612
2014-02-25T17:10:16Z,Collapse of Exchange Spells Trouble for Bitcoin,0.4996815164441772
2014-02-25T18:01:44Z,Digital doubts after Bitcoin debacle,0.538151199796198
2014-02-25T18:02:35Z,Digital doubts after Bitcoin debacle,0.538151199796198
2014-02-25T18:38:57Z,Chief of SecondMarket on Bitcoin,0.5247427382942434
2014-02-25T18:47:23Z,Factbox: What Is Bitcoin and How Does It Work?,0.5207408356544709
2014-02-25T21:16:01Z,Trading Site Failure Stirs Ire and Hope for Bitcoin,0.20401934047827924
2014-02-25T22:00:14Z,Japan Authorities Looking Into Closure of Mt. Gox Bitcoin Exchange,0.4319100692414554
2014-02-26T03:36:56Z,Japan Authorities Looking Into Closure of Mt. Gox Bitcoin Exchange,0.4319100692414554
2014-02-26T06:33:22Z,"Beyond Mt. Gox, Bitcoin Believers Keep the Faith, See More Robust System",0.739648729020471
2014-02-26T07:02:47Z,"Daily Report: As Mt. Gox Falls, Bitcoin Looks to the Future",0.4635466775927688
2014-02-26T07:19:16Z,"Mt Gox Head Says in Japan, Seeking Solution to Bitcoin Exchange's Woes",0.4697431186808374
2014-02-26T08:40:18Z,"Now, Nations Mull the Ways to Regulate Bitcoin",0.6124574757572836
2014-02-26T10:16:35Z,"U.S. Attorney Subpoenaed Mt Gox, Other Bitcoin Businesses: Source",0.5305276757975651
2014-02-26T14:32:15Z,Bitcoin Derivatives Market BTC Suspends Trade After Mt. Gox Goes Dark,0.4793943797504709
2014-02-27T18:50:19Z,Japan Finance Minister: Japan Has Not Yet Decided Its Stance on Bitcoin,0.545263214414197
2014-02-27T19:19:36Z,Bitcoin Owners Find Safe Place for Digital Currency: On Paper,0.4782185269521887
2014-02-27T23:31:07Z,Vietnam Says Bitcoin Transactions Are Illegal,0.3051541305416047
2014-02-28T04:11:44Z,Blind evangelism next big threat to bitcoin after Gox bust,0.5028516156524476
2014-02-28T04:37:36Z,Tokyo Bitcoin Exchange Files for Bankruptcy,0.531836711252521
2014-02-28T09:10:13Z,Mt. Gox Bitcoin Debacle: Huge Heist or Sloppy Glitch?,0.3453400669455663
2014-02-28T10:12:54Z,Fortress Discloses a Paper Loss on Bitcoin,0.478214964485897
2014-02-28T11:17:15Z,Bitcoin True Believers Unfazed by Losses in Mt. Gox Collapse,0.5225442936046509
2014-02-28T13:09:53Z,Mt. Gox Sued in United States Over Bitcoin Losses,0.4760182726736308
2014-03-01T00:00:00Z,The Bitcoin Blasphemy,0.4787816961484252
2014-03-03T03:03:49Z,Bitcoin Exchange Looks Into Criminal Complaint,0.511901571927693
2014-03-03T12:02:01Z,Bitcoin Loss Highlights Elusive Paths of Regulation ,0.7494479404442473
2014-03-03T16:50:45Z,Mt. Gox Collapse Could Ultimately Help Bitcoin-New York Regulator,0.4591802077499219
2014-03-04T14:14:35Z,Japan to Regulate and Tax Bitcoin Trades: Nikkei,0.6666750673161452
2014-03-04T18:13:51Z,Bitcoin Bank Flexcoin Shuts Down After Theft,0.2953946874836134
