time,headline,alchemy_score
2014-01-21T07:22:25Z,2 Vegas Hotel-Casinos to Start Accepting Bitcoin,0.326362
2014-01-21T11:54:30Z,Why Bitcoin Matters,-0.435805
2014-01-21T13:12:40Z,Vegas Casinos Now Accepting Cybercurrency Bitcoin,0.29226
2014-01-21T19:13:14Z,Two Las Vegas Casinos to Accept Virtual Bitcoin Currency,0.251485
2014-01-22T11:09:50Z,Bitcoin a Fool's Gold Standard,-0.548387
2014-01-24T11:54:39Z,Bitcoin Is Not Yet Ready for the Real World,-0.309961
2014-01-27T09:30:51Z,Bitcoin and the Fictions of Money ,0.0
2014-01-27T11:24:24Z,Prominent Bitcoin Entrepreneur Charged With Money Laundering,0.0
2014-01-27T14:34:45Z,Bitcoin Figure Is Accused of Conspiring to Launder Money ,-0.613749
2014-01-28T12:12:42Z,New York May Offer Virtual Currency Regulations This Year,0.0
2014-01-28T16:09:36Z,A Swipe at Traditional Banking at a Forum Illuminating Bitcoin  ,0.21781
2014-01-29T16:16:03Z,Law Enforcement Strikes Back in Bitcoin Hearing ,-0.67986
2014-01-30T15:20:09Z,"Analysis: To Grow, Bitcoin May Need to Shed Its World of Intrigue",-0.237769
2014-02-03T10:56:20Z,More Bitcoin Regulation Is Inevitable,-0.372491
2014-02-05T19:30:39Z,Apple Takes Down a Bitcoin App,-0.625328
2014-02-06T18:01:21Z,Legal Troubles Barely Subdue a Bitcoin Evangelist's Sermons,-0.447986
2014-02-07T10:00:29Z,Rewards Program Tries Bitcoin,0.0
2014-02-09T04:24:17Z,Russian Authorities Say Bitcoin Illegal,-0.605692
2014-02-10T16:25:03Z,Bitcoin Plunges After Marketplace Indefinitely Halts Withdrawals,-0.685263
2014-02-11T06:51:20Z,Israeli Startups Dream of a Bitcoin World,0.415979
2014-02-11T09:33:33Z,Daily Report: Software Error Shakes Bitcoin Exchange,-0.688879
2014-02-11T15:41:20Z,Bitcoin Hit by Denial of Service Attacks as Regulators Prepare Clampdown,-0.723064
2014-02-11T16:04:24Z,"A Second Bitcoin Exchange, Bitstamp, Halts Withdrawals",-0.568813
2014-02-11T16:22:14Z,"Canada Says Will Keep Closer Track of Bitcoin, Virtual Currencies",-0.249176
2014-02-12T07:19:41Z,Bitcoin Entrepreneurs Bullish Despite Tech Trouble,0.0
2014-02-12T17:51:50Z,Cyber Attack on Bitcoin a Big Warning to Currency's Users,-0.810758
2014-02-14T16:19:42Z,"Bitstamp to Resume Withdrawals, Steadying Nervous Bitcoin Market",-0.666452
2014-02-16T12:09:56Z,NY Officials: Virtual Currency Invites Real Crime,-0.28472
2014-02-17T18:32:50Z,Regulators and Hackers Put Bitcoin to the Test,-0.527601
2014-02-18T00:04:12Z,"First U.S. Bitcoin ATMs to Open Soon in Seattle, Austin",0.0
2014-02-19T06:17:06Z,"Israel Warns Public on Bitcoin Risks, Mulls Regulation",-0.462621
2014-02-19T15:49:10Z,Winklevoss Brothers Offer an Index to Track Price of Bitcoin ,0.358003
2014-02-20T07:48:08Z,Bitcoin ATM Arrives at Boston Rail Hub,0.0
2014-02-23T23:24:50Z,Mt. Gox Resigns From Bitcoin Foundation: WSJ,-0.482675
2014-02-24T09:41:35Z,Chief of Mt. Gox Resigns From Bitcoin Foundation ,-0.519885
2014-02-24T11:38:18Z,Facebook Stock Not So Different Than Bitcoin,-0.389822
2014-02-25T00:00:00Z,Apparent Theft at Mt. Gox Shakes Bitcoin World,-0.506619
2014-02-25T00:37:27Z,Bitcoin Exchange Mt. Gox Goes Dark in Blow to Virtual Currency,-0.749591
2014-02-25T01:42:51Z,Major Bitcoin Exchange Said to Be Insolvent,-0.653351
2014-02-25T06:56:34Z,Daily Report: Bitcoin World Is Shaken by Apparent Theft at Exchange,-0.266711
2014-02-25T08:31:44Z,Protests after bitcoin exchange disappears,-0.62959
