time,headline,alchemy_score
2014-10-14T18:17:06Z,NY State Says Bitcoin Software Developers Don't Need License,0.0
2014-10-28T17:02:21Z,Former S.E.C. Chairman to Advise Two Prominent Bitcoin Companies,0.0
2014-10-30T08:55:42Z,UK charity cashes in on Bitcoin trend,0.0
2014-10-30T13:16:54Z,"Bitcoin Foundation's Executive Director, Jon Matonis, Resigns",-0.422791
2014-11-06T11:54:18Z,US Announces 1st Bitcoin Securities Fraud Case,0.0
2014-11-06T12:31:48Z,Texan Charged in First Bitcoin Securities Fraud Ponzi Case,-0.651671
2014-11-17T15:53:03Z,Another Bitcoin Auction to Be Held by U.S. Marshals,0.0
2014-11-25T23:30:30Z,Trustee Moves to Repay Creditors in Mt. Gox Bitcoin Exchange,0.0
2014-11-26T04:54:29Z,Bitcoin Exchange Kraken to Help in Mt. Gox Bankruptcy,-0.782141
2014-12-02T01:56:11Z,Australia Probes Bitcoin Crime Links as Currency Craves Legitimacy,0.466719
2014-12-04T17:15:50Z,Second Bitcoin Auction Draws Fewer Bidders,-0.266564
2014-12-05T17:06:04Z,Venture Capitalist Tim Draper Wins Part of U.S. Bitcoin Auction,0.491767
2014-12-05T17:59:18Z,Venture Capitalist Tim Draper Wins Small Piece of Bitcoin Auction,0.560116
2014-12-08T14:25:17Z,Operator of Bitcoin Stock Exchange Penalized by U.S. SEC,-0.59568
2014-12-09T09:50:51Z,Operator of Bitcoin Stock Exchange Penalized by U.S. SEC,-0.59568
2014-12-09T12:26:43Z,"Bitcoin Trust Wins 48,000 Bitcoins Auctioned by U.S. Marshals",0.284779
2014-12-11T00:01:47Z,"Ex-JPMorgan Executive to Join Circle, a Digital Currency Start-Up",0.445404
2014-12-11T15:34:35Z,"All the Rage a Year Ago, Bitcoin Sputters as Adoption Stalls",-0.841713
2014-12-16T12:07:53Z,Time Inc. Begins Accepting Bitcoin Payments,0.264469
2014-12-18T11:40:12Z,New York Regulator Lays Out Tweaks to Bitcoin Rules,0.0
2014-12-18T13:35:11Z,New York Regulator Outlines Changes to Bitcoin Rules,0.0
2014-12-19T16:19:37Z,Bitcoin Backer Gets Two Years Prison for Illicit Transfers,-0.72966
2014-12-27T00:02:08Z,NC State Wins Bitcoin Bowl to Cap Turnaround Year,0.325984
2014-12-31T22:48:14Z,The Rise And Rise Of Bitcoin,-0.439158
2015-01-02T17:34:27Z,Bitcoin Foundation Parts Ways With Its Global Policy Counsel,0.248471
2015-01-06T05:44:54Z,Bitcoin Exchange Bitstamp Suspends Service After Security Breach,-0.655709
2015-01-06T12:46:23Z,Jitters After Bitcoin Exchange Suspends Services,-0.54218
2015-01-07T04:55:49Z,Bitcoin Exchange Bitstamp Says to Resume Trading Within 24 Hours,0.0
2015-01-09T05:43:25Z,Bitcoin Exchange Bitstamp Says to Resume Trading on Friday,0.0
2015-01-09T16:28:33Z,Bitcoin Exchange Bitstamp Resumes Services,0.0
2015-01-09T18:40:22Z,Overstock.com Installs Bitcoin ATM at Utah Headquarters,-0.207817
2015-01-12T01:04:34Z,Accused Silk Road Creator Goes to Trial Amid U.S. Scrutiny of Bitcoin,-0.479922
2015-01-12T15:44:31Z,Bitcoin Storage Firm Secures 'Big Four' Financial Accreditation,0.219211
2015-01-16T00:00:00Z,Focus Is on Bitcoin Trader at Trial Over Silk Road Black Market,0.0
2015-01-16T12:50:56Z,Bitcoin Is a Victim of Disinflation,-0.515276
2015-01-20T08:59:48Z,"Coinbase, a Bitcoin Start-Up, Raises $75 Million in Vote of Confidence",0.681081
2015-01-20T22:00:09Z,4 Years in Prison for Bitcoin Exchanger Who Helped Silk Road,0.0
2015-01-22T22:10:57Z,Winklevoss Twins Aim to Take Bitcoin Mainstream,0.256329
2015-01-23T00:08:29Z,Winklevoss Twins Aim to Take Bitcoin Mainstream With a Regulated Exchange: NYT,0.429454
2015-01-23T07:21:31Z,Morning Agenda: Winklevosses Plan Bitcoin Exchange,0.244532
2015-01-26T15:16:08Z,U.S. Bitcoin Exchange Makes Debut,0.290823
2015-01-26T18:37:26Z,Winklevoss Twins Expect First Quarter Debut of Bitcoin Exchange,0.0
2015-01-27T12:58:47Z,Winklevoss Twins Expect First Quarter Debut of Bitcoin Exchange,0.0
2015-01-28T10:15:25Z,"Coinbase, a Bitcoin Exchange, Is Operating Without Licenses So Far",0.0
2015-02-09T23:21:44Z,Hong Kong Warns Over Digital Currencies Amid Alleged Bitcoin Fraud,-0.418212
2015-02-11T11:30:00Z,Hong Kong Issues Warning About Bitcoin,-0.547865
2015-02-12T05:18:34Z,Hong Kong bitcoin scandal leaves investors in the dark,-0.735451
2015-02-12T12:10:36Z,Larry Summers Likes the Idea of Bitcoin,0.0
2015-02-13T01:30:28Z,Regulator Raps Australian Bitcoin IPO Hopeful for China Social Media Marketing,0.734892
2015-02-18T13:12:04Z,U.S. Announces Third Bitcoin Auction,0.204127
2015-02-18T22:00:03Z,Digital Currency,0.241417
2015-03-02T00:00:00Z,Data Security Is Becoming the Sparkle in Bitcoin,0.0
2015-03-05T11:24:55Z,U.S. Third Bitcoin Auction Spurs More Demand With 34 Bids,0.0
2015-03-06T00:00:00Z,U.S. Auction Suggests Lingering Interest in Bitcoin,-0.210043
2015-03-10T14:31:24Z,Bitcoin Exchange itBit Says It Won Part of Bitcoin Auction,0.312728
2015-03-10T21:16:43Z,Investors Put $116 Million in Bitcoin Startup 21 Inc: WSJ,0.0
2015-03-12T00:00:00Z,Former JPMorgan Executive Blythe Masters Joins Bitcoin-Related Start-Up,0.0
2015-03-12T16:26:23Z,Exclusive: IBM Looking at Adopting Bitcoin Technology for Major Currencies,0.470122
2015-03-18T07:36:30Z,Swedish Crowdfunding Platform Launches Bitcoin Pilot,-0.238072
2015-03-18T11:16:17Z,"In Boon for Bitcoin, UK to Regulate Digital Currency Exchanges",0.260152
2015-03-23T17:22:25Z,Nasdaq to Provide Trading Technology for Bitcoin Marketplace: WSJ,0.243726
2015-03-30T12:51:14Z,Federal Agents Charged With Stealing Digital Currency,0.0
2015-03-30T12:51:17Z,Former U.S. Agents Charged for Bitcoin Theft During Silk Road Probe,-0.393392
