Week,"buy bitcoin"
2012-01-01 - 2012-01-07,0
2012-01-08 - 2012-01-14,0
2012-01-15 - 2012-01-21,0
2012-01-22 - 2012-01-28,0
2012-01-29 - 2012-02-04,0
2012-02-05 - 2012-02-11,0
2012-02-12 - 2012-02-18,0
2012-02-19 - 2012-02-25,0
2012-02-26 - 2012-03-03,0
2012-03-04 - 2012-03-10,0
2012-03-11 - 2012-03-17,0
2012-03-18 - 2012-03-24,0
2012-03-25 - 2012-03-31,0
2012-04-01 - 2012-04-07,0
2012-04-08 - 2012-04-14,0
2012-04-15 - 2012-04-21,0
2012-04-22 - 2012-04-28,0
2012-04-29 - 2012-05-05,0
2012-05-06 - 2012-05-12,3
2012-05-13 - 2012-05-19,3
2012-05-20 - 2012-05-26,3
2012-05-27 - 2012-06-02,3
2012-06-03 - 2012-06-09,3
2012-06-10 - 2012-06-16,3
2012-06-17 - 2012-06-23,3
2012-06-24 - 2012-06-30,3
2012-07-01 - 2012-07-07,3
2012-07-08 - 2012-07-14,3
2012-07-15 - 2012-07-21,3
2012-07-22 - 2012-07-28,3
2012-07-29 - 2012-08-04,3
2012-08-05 - 2012-08-11,3
2012-08-12 - 2012-08-18,4
2012-08-19 - 2012-08-25,4
2012-08-26 - 2012-09-01,4
2012-09-02 - 2012-09-08,5
2012-09-09 - 2012-09-15,5
2012-09-16 - 2012-09-22,3
2012-09-23 - 2012-09-29,3
2012-09-30 - 2012-10-06,3
2012-10-07 - 2012-10-13,3
2012-10-14 - 2012-10-20,0
2012-10-21 - 2012-10-27,0
2012-10-28 - 2012-11-03,0
2012-11-04 - 2012-11-10,0
2012-11-11 - 2012-11-17,0
2012-11-18 - 2012-11-24,4
2012-11-25 - 2012-12-01,3
2012-12-02 - 2012-12-08,5
2012-12-09 - 2012-12-15,3
2012-12-16 - 2012-12-22,3
2012-12-23 - 2012-12-29,3
2012-12-30 - 2013-01-05,5
2013-01-06 - 2013-01-12,5
2013-01-13 - 2013-01-19,3
2013-01-20 - 2013-01-26,4
2013-01-27 - 2013-02-02,4
2013-02-03 - 2013-02-09,2
2013-02-10 - 2013-02-16,5
2013-02-17 - 2013-02-23,3
2013-02-24 - 2013-03-02,6
2013-03-03 - 2013-03-09,8
2013-03-10 - 2013-03-16,7
2013-03-17 - 2013-03-23,10
2013-03-24 - 2013-03-30,16
2013-03-31 - 2013-04-06,29
2013-04-07 - 2013-04-13,50
2013-04-14 - 2013-04-20,18
2013-04-21 - 2013-04-27,11
2013-04-28 - 2013-05-04,10
2013-05-05 - 2013-05-11,11
2013-05-12 - 2013-05-18,9
2013-05-19 - 2013-05-25,9
2013-05-26 - 2013-06-01,10
2013-06-02 - 2013-06-08,8
2013-06-09 - 2013-06-15,7
2013-06-16 - 2013-06-22,7
2013-06-23 - 2013-06-29,9
2013-06-30 - 2013-07-06,11
2013-07-07 - 2013-07-13,8
2013-07-14 - 2013-07-20,10
2013-07-21 - 2013-07-27,8
2013-07-28 - 2013-08-03,7
2013-08-04 - 2013-08-10,6
2013-08-11 - 2013-08-17,7
2013-08-18 - 2013-08-24,10
2013-08-25 - 2013-08-31,8
2013-09-01 - 2013-09-07,9
2013-09-08 - 2013-09-14,9
2013-09-15 - 2013-09-21,7
