time,headline,sentiment,sentimentValue
2014-02-10T16:25:03Z,Bitcoin Plunges After Marketplace Indefinitely Halts Withdrawals,Positive,3
2014-02-11T06:51:20Z,Israeli Startups Dream of a Bitcoin World,Negative,1
2014-02-11T09:33:33Z,Daily Report: Software Error Shakes Bitcoin Exchange,Negative,1
2014-02-11T15:41:20Z,Bitcoin Hit by Denial of Service Attacks as Regulators Prepare Clampdown,Negative,1
2014-02-11T16:04:24Z,"A Second Bitcoin Exchange, Bitstamp, Halts Withdrawals",Negative,1
2014-02-11T16:22:14Z,"Canada Says Will Keep Closer Track of Bitcoin, Virtual Currencies",Neutral,2
2014-02-12T07:19:41Z,Bitcoin Entrepreneurs Bullish Despite Tech Trouble,Negative,1
2014-02-12T17:51:50Z,Cyber Attack on Bitcoin a Big Warning to Currency's Users,Negative,1
2014-02-14T16:19:42Z,"Bitstamp to Resume Withdrawals, Steadying Nervous Bitcoin Market",Negative,1
2014-02-16T12:09:56Z,NY Officials: Virtual Currency Invites Real Crime,Negative,1
2014-02-17T18:32:50Z,Regulators and Hackers Put Bitcoin to the Test,Neutral,2
2014-02-18T00:04:12Z,"First U.S. Bitcoin ATMs to Open Soon in Seattle, Austin",Neutral,2
2014-02-19T06:17:06Z,"Israel Warns Public on Bitcoin Risks, Mulls Regulation",Negative,1
2014-02-19T15:49:10Z,Winklevoss Brothers Offer an Index to Track Price of Bitcoin ,Negative,1
2014-02-20T07:48:08Z,Bitcoin ATM Arrives at Boston Rail Hub,Negative,1
2014-02-23T23:24:50Z,Mt. Gox Resigns From Bitcoin Foundation: WSJ,Negative,1
2014-02-24T09:41:35Z,Chief of Mt. Gox Resigns From Bitcoin Foundation ,Negative,1
2014-02-24T11:38:18Z,Facebook Stock Not So Different Than Bitcoin,Negative,1
2014-02-25T00:00:00Z,Apparent Theft at Mt. Gox Shakes Bitcoin World,Negative,1
2014-02-25T00:37:27Z,Bitcoin Exchange Mt. Gox Goes Dark in Blow to Virtual Currency,Negative,1
