Week,Bitcoin
2010-11-07 - 2010-11-13,0
2010-11-14 - 2010-11-20,0
2010-11-21 - 2010-11-27,0
2010-11-28 - 2010-12-04,0
2010-12-05 - 2010-12-11,0
2010-12-12 - 2010-12-18,0
2010-12-19 - 2010-12-25,0
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,0
2011-01-16 - 2011-01-22,0
2011-01-23 - 2011-01-29,0
2011-01-30 - 2011-02-05,0
2011-02-06 - 2011-02-12,1
2011-02-13 - 2011-02-19,1
2011-02-20 - 2011-02-26,1
2011-02-27 - 2011-03-05,1
2011-03-06 - 2011-03-12,0
2011-03-13 - 2011-03-19,0
2011-03-20 - 2011-03-26,1
2011-03-27 - 2011-04-02,1
2011-04-03 - 2011-04-09,1
2011-04-10 - 2011-04-16,1
2011-04-17 - 2011-04-23,1
2011-04-24 - 2011-04-30,1
2011-05-01 - 2011-05-07,1
2011-05-08 - 2011-05-14,2
2011-05-15 - 2011-05-21,7
2011-05-22 - 2011-05-28,6
2011-05-29 - 2011-06-04,10
2011-06-05 - 2011-06-11,13
2011-06-12 - 2011-06-18,16
2011-06-19 - 2011-06-25,13
2011-06-26 - 2011-07-02,7
2011-07-03 - 2011-07-09,6
2011-07-10 - 2011-07-16,6
2011-07-17 - 2011-07-23,5
2011-07-24 - 2011-07-30,5
2011-07-31 - 2011-08-06,6
2011-08-07 - 2011-08-13,5
2011-08-14 - 2011-08-20,5
2011-08-21 - 2011-08-27,5
2011-08-28 - 2011-09-03,4
2011-09-04 - 2011-09-10,4
2011-09-11 - 2011-09-17,4
2011-09-18 - 2011-09-24,3
2011-09-25 - 2011-10-01,3
2011-10-02 - 2011-10-08,3
2011-10-09 - 2011-10-15,3
2011-10-16 - 2011-10-22,3
2011-10-23 - 2011-10-29,2
2011-10-30 - 2011-11-05,2
2011-11-06 - 2011-11-12,2
2011-11-13 - 2011-11-19,2
2011-11-20 - 2011-11-26,2
2011-11-27 - 2011-12-03,2
2011-12-04 - 2011-12-10,2
2011-12-11 - 2011-12-17,2
2011-12-18 - 2011-12-24,2
2011-12-25 - 2011-12-31,2
2012-01-01 - 2012-01-07,2
2012-01-08 - 2012-01-14,2
2012-01-15 - 2012-01-21,4
2012-01-22 - 2012-01-28,2
2012-01-29 - 2012-02-04,2
2012-02-05 - 2012-02-11,2
2012-02-12 - 2012-02-18,2
2012-02-19 - 2012-02-25,2
2012-02-26 - 2012-03-03,2
2012-03-04 - 2012-03-10,2
2012-03-11 - 2012-03-17,2
2012-03-18 - 2012-03-24,2
2012-03-25 - 2012-03-31,2
2012-04-01 - 2012-04-07,2
2012-04-08 - 2012-04-14,2
2012-04-15 - 2012-04-21,2
2012-04-22 - 2012-04-28,3
2012-04-29 - 2012-05-05,2
2012-05-06 - 2012-05-12,2
2012-05-13 - 2012-05-19,2
2012-05-20 - 2012-05-26,2
2012-05-27 - 2012-06-02,2
2012-06-03 - 2012-06-09,2
2012-06-10 - 2012-06-16,2
2012-06-17 - 2012-06-23,2
2012-06-24 - 2012-06-30,2
2012-07-01 - 2012-07-07,2
2012-07-08 - 2012-07-14,3
2012-07-15 - 2012-07-21,3
2012-07-22 - 2012-07-28,2
2012-07-29 - 2012-08-04,3
2012-08-05 - 2012-08-11,3
2012-08-12 - 2012-08-18,3
2012-08-19 - 2012-08-25,4
2012-08-26 - 2012-09-01,3
2012-09-02 - 2012-09-08,5
2012-09-09 - 2012-09-15,3
2012-09-16 - 2012-09-22,3
2012-09-23 - 2012-09-29,3
2012-09-30 - 2012-10-06,3
2012-10-07 - 2012-10-13,3
2012-10-14 - 2012-10-20,3
2012-10-21 - 2012-10-27,3
2012-10-28 - 2012-11-03,2
2012-11-04 - 2012-11-10,2
2012-11-11 - 2012-11-17,3
2012-11-18 - 2012-11-24,3
2012-11-25 - 2012-12-01,4
2012-12-02 - 2012-12-08,4
2012-12-09 - 2012-12-15,4
2012-12-16 - 2012-12-22,3
2012-12-23 - 2012-12-29,3
2012-12-30 - 2013-01-05,3
2013-01-06 - 2013-01-12,4
2013-01-13 - 2013-01-19,3
2013-01-20 - 2013-01-26,4
2013-01-27 - 2013-02-02,5
2013-02-03 - 2013-02-09,5
2013-02-10 - 2013-02-16,5
2013-02-17 - 2013-02-23,6
2013-02-24 - 2013-03-02,7
2013-03-03 - 2013-03-09,9
2013-03-10 - 2013-03-16,9
